cgpa,dsa_score,projects,internships,communication,salary_lpa
8.9,32,3,2,4,9.74
7.2,85,4,2,3,14.66
9.3,3,3,1,6,8.23
8.5,45,3,1,7,9.13
5.5,80,2,3,3,10.19
9.9,96,1,3,8,19.38
8.8,25,1,1,7,9.65
8.9,65,4,0,2,16.06
5.6,19,0,1,10,4.47
7.3,11,0,2,1,8.72
6.9,35,2,2,7,9.01
9.6,89,4,0,5,16.27
8.2,69,3,0,7,10.56
9.1,49,3,1,8,14.48
7.2,28,3,3,7,9.19
6.1,14,0,0,7,2.5
7.8,27,1,1,9,10.08
5.3,15,0,0,8,4.31
9.1,18,4,0,9,12.28
8.2,69,4,2,5,13.67
8.8,13,1,1,3,7.36
6.8,4,1,1,3,4.14
9.9,54,1,3,7,15.1
9.5,28,5,0,6,14.49
8.9,45,2,0,1,10.42
6.0,14,4,3,3,10.44
7.3,21,2,2,10,9.92
5.2,44,4,0,8,7.26
5.8,69,3,1,8,11.52
8.4,41,1,2,2,12.21
8.7,54,5,1,1,16.14
9.8,52,4,2,3,16.36
6.6,27,4,2,9,9.51
6.9,28,5,1,6,9.23
7.3,42,1,3,8,10.74
5.9,3,0,1,5,5.1
5.6,69,3,3,5,11.54
7.4,62,1,0,7,10.17
6.1,30,2,1,10,7.21
8.3,37,1,2,5,9.15
7.2,33,2,3,6,9.23
9.2,65,2,0,10,13.33
8.5,76,2,3,4,16.78
6.6,10,4,0,9,6.47
9.2,41,3,1,6,12.1
9.0,1,2,1,9,7.03
6.9,45,0,1,5,8.23
6.4,25,3,3,7,10.75
8.4,33,1,2,4,11.75
5.7,46,1,3,7,8.35
6.0,32,2,1,4,7.16
5.0,39,0,3,7,5.67
8.9,77,2,1,8,14.85
8.3,81,1,2,5,13.59
8.5,0,5,2,5,9.94
8.9,38,5,2,4,13.42
7.3,85,0,2,8,12.58
7.8,53,3,1,6,10.78
5.7,20,3,2,6,6.27
5.6,59,2,3,1,11.36
8.3,14,2,1,2,11.53
7.4,2,4,2,1,5.53
7.8,63,2,0,9,9.18
8.8,52,0,1,9,9.23
8.2,76,2,3,1,13.24
7.8,34,1,2,1,9.55
7.8,86,2,0,8,13.63
6.5,42,1,2,6,8.19
5.2,74,0,3,4,9.27
7.2,10,5,0,7,6.97
6.1,9,0,0,3,2.5
7.0,79,4,1,2,12.39
9.3,84,4,2,4,14.25
6.2,95,3,1,9,11.23
5.3,32,5,3,8,7.78
6.4,2,0,3,2,5.15
6.5,98,1,2,6,12.73
8.3,60,1,1,9,12.31
7.8,24,3,0,10,6.1
8.9,77,3,3,8,13.85
8.3,91,5,3,2,18.0
7.0,28,2,1,3,2.92
9.1,77,1,2,3,15.35
5.8,79,5,3,2,10.2
5.1,50,4,2,2,9.66
5.5,63,4,0,4,7.58
8.6,27,2,2,6,11.67
7.3,93,2,3,4,18.86
5.8,99,2,3,5,9.38
7.5,99,4,1,3,15.81
5.8,74,1,2,2,6.3
8.5,4,5,1,10,10.88
7.2,37,1,2,6,8.11
6.9,44,2,0,3,7.77
6.5,96,1,1,9,10.62
8.2,55,3,1,9,13.48
6.8,54,4,1,10,9.17
5.4,14,5,1,2,7.86
5.6,80,4,0,7,10.2
9.8,33,1,2,10,9.82
9.5,9,1,1,9,11.25
8.5,99,5,3,3,17.93
6.3,19,2,0,9,8.58
